category,subcategory,count
Pharma & Wellness,Prescription Medicines,4244
Fashion & Accessories,Jewellery,2814
Electronics & Electricals,Appliances,2730
Electronics & Electricals,Electronic Accessories,2633
Fashion & Accessories,Fashion Accesssories,2232
Beauty & Cosmetics,Tools & Accessories,2014
Home Furnishing & Decor,Home Furnishing,1900
Home & Office,Kitchen & Dining Needs,1886
Sweet Tooth,Ice Cream & Frozen Dessert,1834
Munchies,Chips & Crisps,1803
Beauty & Cosmetics,Face Care,1770
Home Furnishing & Decor,Festive & Occasion Needs,1550
"Dry Fruits, Masala & Oil",Powdered Spice,1502
"Dry Fruits, Masala & Oil",Dry Fruits,1480
Home Furnishing & Decor,Home Decor,1440
Home Furnishing & Decor,Spiritual & Religious Needs,1377
Beauty & Cosmetics,Lip Cosmetics,1377
Electronics & Electricals,Audio & Accessories,1370
Home & Office,Festive & Occasion Needs,1276
Sweet Tooth,Indian Sweets,1255
Toys & Games,Cars & Vehicles,1181
Fashion & Accessories,Men's Innerwear & Loungewear,1112
"Dry Fruits, Masala & Oil",Oil,1100
"Atta, Rice & Dal",Rice,1063
Toys & Games,Baby & Toddler,1052
Personal Care,Hair Care,1032
Fashion & Accessories,Women's Innerwear & Loungewear,1032
Stationery Needs,School Essentials,990
Home Furnishing & Decor,"Flowers, Plants & Gardening",983
Beauty & Cosmetics,Hair Styling & Treatment,976
Pharma & Wellness,Non-Prescription Medicines,969
Home Furnishing & Decor,Home Improvement,962
Munchies,Namkeen Snacks,955
Home & Office,Pooja Needs,934
Electronics & Electricals,Decorative Lights & Lamps,887
Pet Care,Dog Needs,850
Dairy & Breakfast,Bread & Pav,832
"Dry Fruits, Masala & Oil",Whole Spices,825
Bakery & Biscuits,Cookies,810
Fashion & Accessories,Luggage & Travel Bags,803
Beauty & Cosmetics,Face Cosmetics,797
Home & Office,Home Decor,782
Baby Care,Baby Accessories & Apparel,772
Kitchen & Dining,Kitchen Accessories,756
Pharma & Wellness,Sexual Wellness,756
Cleaning Essentials,Cleaning Tools,751
Fashion & Accessories,Men's Westernwear,748
Pharma & Wellness,Health & Wellness Supplements,734
Home & Office,Home Furnishing,731
Personal Care,Feminine Care,730
Kitchen & Dining,Dining and Serveware,703
Sweet Tooth,Chocolates,686
Beauty & Cosmetics,Fragrance,683
Pet Care,Cat Needs,680
Books,Children's Books,679
Personal Care,Bathing,672
"Dry Fruits, Masala & Oil",Dates & Seeds,665
Home Furnishing & Decor,Tissues & Disposables,657
Personal Care,Face Cleaning,639
Personal Care,Sunscreen,637
Fashion & Accessories,Men's Footwear,636
Stationery Needs,Gifting Needs,631
Vegetables & Fruits,Exotics,630
Digital Goods,E-Cards,629
Stationery Needs,Arts & Crafts,614
Home & Office,Sports & Fitness,613
Personal Care,Oral Care,607
"Dry Fruits, Masala & Oil",Ghee & Vanaspati,606
Kitchen & Dining,Bottles & Flasks,595
Personal Care,Face & Body Moisturizers,593
Cold Drinks & Juices,Soda & Mixers,587
Fashion & Accessories,Men's Ethnic Wear,586
Home & Office,Tissues & Disposables,585
Kitchen & Dining,Storage & Containers,551
Instant & Frozen Food,Energy Bars,548
Toys & Games,Indoor & Outdoor Play,533
Bakery & Biscuits,Cakes & Rolls,524
Instant & Frozen Food,Noodles,522
Fashion & Accessories,Women's Handbags,518
Cold Drinks & Juices,Soft Drinks,507
Pet Care,Accessories & Other Supplies,506
Home Furnishing & Decor,Sports & Fitness,501
Sauces & Spreads,Indian Chutney & Pickle,500
Munchies,Bhujia & Mixtures,494
Cleaning Essentials,Fresheners,492
"Atta, Rice & Dal",Millet & Other Flours,492
Toys & Games,Soft Toys,490
Munchies,Makhana & More,489
Fashion & Accessories,Men's Sports Wear,468
Toys & Games,Art & Craft,466
Home & Office,"Flowers, Plants & Gardening",463
"Dry Fruits, Masala & Oil","Salt, Sugar & Jaggery",460
Beauty & Cosmetics,Eye Makeup,457
Fashion & Accessories,Bags,456
Pharma & Wellness,Pure OTC,451
Home Furnishing & Decor,Bathroom Essentials,438
Beauty & Cosmetics,Hair Care,437
Vegetables & Fruits,Fresh Fruits,431
Stationery Needs,Pens & Pencils,428
Dairy & Breakfast,Curd & Yogurt,421
Beauty & Cosmetics,Nail Cosmetics,419
Sweet Tooth,Candies & Gum,415
Fashion & Accessories,Women's Footwear,411
Pharma & Wellness,Protein and Workout Supplements,404
Home & Office,Stationery Needs,404
"Atta, Rice & Dal","Toor, Urad & Chana",402
"Atta, Rice & Dal","Poha, Daliya & Other Grains",400
Cleaning Essentials,Repellents,394
Beauty & Cosmetics,Lip & Eye Care,392
Home & Office,Electronic Accessories,378
"Chicken, Meat & Fish",Chicken,365
"Tea, Coffee & Health Drinks",Coffee,359
Electronics & Electricals,Hardware & Electricals,358
Cold Drinks & Juices,Energy Drinks,358
Baby Care,Diapers & More,358
Home & Office,Bathroom Essentials,357
Kitchen & Dining,Cookware & Sets,349
Personal Care,Deodorant & Talc,346
"Atta, Rice & Dal",Atta,345
Instant & Frozen Food,Ready to Cook & Eat,337
Stationery Needs,Notebooks & Diaries,332
Kitchen & Dining,Mugs & Glasses,330
Pharma & Wellness,Vitamins & Daily Nutrition,330
NULL,NULL,325
Cleaning Essentials,Floor & Surface Cleaners,324
"Atta, Rice & Dal","Rajma, Chhole & Others",324
Vegetables & Fruits,Trusted Organic,319
Toys & Games,"Card, Board & Tabletop Games",317
Stationery Needs,Office Supplies,314
"Masala, Oil & More",Powdered Masala,310
Personal Care,Facial Care,310
"Atta, Rice & Dal","Besan, Sooji & Maida",309
Books,Non Fiction Books,308
Dairy & Breakfast,Eggs,306
Magazines,News & Current Affairs,305
Kitchen & Dining,Lunch Boxes,304
Cold Drinks & Juices,Fruit Juice,302
"Tea, Coffee & Health Drinks","Lassi, Shakes & More",302
"Tea, Coffee & Milk Drinks","Lassi, Shakes & More",299
Baby Care,Feeding Essentials,291
Personal Care,Men's Grooming,289
Pharma & Wellness,Wound Care And Pain Relief,288
"Tea, Coffee & Health Drinks",Tea,287
Beauty & Cosmetics,Beauty and Makeup,285
Vegetables & Fruits,Fresh Vegetables,281
Home & Office,Home Decor & Storage,281
"Tea, Coffee & Milk Drinks",Tea,262
Toys & Games,Puzzles & Cubes,261
Sweet Tooth,Chocolate Packs,261
Fashion & Accessories,Women's Ethnic Wear,261
"Tea, Coffee & Milk Drinks",Coffee,260
Beauty & Cosmetics,Gift & Kits,258
Cold Drinks & Juices,Concentrates & Syrups,257
Bakery & Biscuits,Gourmet Bakery,257
Toys & Games,Building Blocks & Sets,255
Sauces & Spreads,Cooking Sauces & Vinegar,251
Pharma & Wellness,Health & Ortho Supports,248
"Atta, Rice & Dal",Moong & Masoor,247
Organic & Premium,Beverages,238
Cleaning Essentials,Liquid Detergents,236
Dairy & Breakfast,Milk,234
Personal Care,Jewellery,234
Sauces & Spreads,Honey & Chyawanprash,233
Instant & Frozen Food,Pasta & More,231
Home & Office,Bags,229
Vegetables & Fruits,Certified Organic,228
Bakery & Biscuits,Rusks & Wafers,227
"Masala, Oil & More",Dry Fruits,224
Dairy & Breakfast,Cheese,222
"Dry Fruits, Masala & Oil",Dry Fruit Gift Packs,221
Instant & Frozen Food,Frozen Veg Snacks,219
Instant & Frozen Food,Instant Mixes,219
"Masala, Oil & More",Whole Spices,219
Munchies,Popcorn,218
Breakfast & Instant Food,Noodles,218
Beauty & Cosmetics,Body & Skin Care,217
Home & Office,Electrical Accessories,215
Home & Office,"Clothing, Footwear & Accessories",214
Sweet Tooth,Mouth Fresheners,212
Pet Care,Pet Grooming,211
Fashion & Accessories,Women's Sports Wear,211
Kitchen & Dining,Storage and Containers,210
Personal Care,Women's Grooming,207
"Chicken, Meat & Fish",Fish & Seafood,206
Sauces & Spreads,Peanut Butter,202
